top5_avg,top10_avg,top15_avg,n_3plus_top10,n_3plus_top15,n_2plus_top10,n_zero_top10,config,time_s
0.62,1.24,1.76,3,13,17,9,BB(0.95_0.85)_w0.4,0.1
0.64,1.26,1.76,3,11,18,9,BB(0.99_0.85)_w0.3,0.1
0.68,1.18,1.74,3,11,17,11,BB(0.99_0.7)_w0.2,0.1
0.52,1.3,1.74,3,10,22,10,BB(d=0.6),0.1
0.58,1.26,1.76,3,10,20,10,BB(d=0.65),0.1
0.68,1.14,1.72,3,10,17,13,BB(d=0.75),0.1
0.64,1.12,1.72,3,10,15,12,BB(0.99_0.7)_w0.3,0.1
0.56,1.24,1.74,3,10,19,10,BB(0.99_0.5)_w0.5,0.1
0.6,1.18,1.72,3,10,17,11,BB(0.99_0.7)_w0.4,0.1
0.62,1.26,1.72,3,9,18,9,BB(0.99_0.85)_w0.2,0.1
0.66,1.26,1.72,3,11,18,9,BB(0.99_0.85)_w0.4,0.1
0.56,1.24,1.78,3,15,20,11,BB(0.99_0.5)_w0.7,0.1
0.56,1.26,1.78,3,10,20,10,BB(0.95_0.5)_w0.3,0.1
0.56,1.2,1.88,3,13,19,12,BB(0.95_0.5)_w0.5,0.1
0.66,1.2,1.72,3,12,18,12,BB(0.99_0.85)_w0.5,0.1
0.62,1.22,1.7,3,9,19,11,BB(d=0.7),0.1
0.6,1.06,1.66,3,11,15,15,BB(d=0.98),0.1
0.68,1.14,1.74,3,10,17,13,BB(0.9_0.7)_w0.2,0.1
0.64,1.14,1.76,3,10,16,12,BB(1.0_0.7)_w0.2,0.1
0.64,1.22,1.8,3,12,18,11,BB(0.9_0.7)_w0.8,0.1
0.62,1.22,1.68,3,9,16,9,BB(1.0_0.85)_w0.3,0.1
0.62,1.24,1.7,3,9,17,9,BB(1.0_0.85)_w0.2,0.1
0.58,1.22,1.74,3,10,18,10,BB(1.0_0.7)_w0.4,0.1
0.6,1.2,1.82,3,11,19,12,BB(0.95_0.55)_w0.4,0.1
0.54,1.3,1.72,3,9,22,10,BB(0.95_0.55)_w0.2,0.1
0.72,1.2,1.78,3,12,17,11,BB3(0.99_0.95_0.85)_w0.4_0.3,0.1
0.7,1.18,1.84,3,13,16,11,BB3(0.99_0.95_0.85)_w0.33_0.33,0.1
0.68,1.14,1.86,3,14,16,12,BB(0.95_0.55)_w0.6,0.1
0.56,1.28,1.72,3,9,21,10,BB(0.99_0.6)_w0.2,0.1
0.56,1.28,1.74,3,9,21,10,BB(0.99_0.6)_w0.3,0.1
0.58,1.28,1.72,3,9,21,10,BB(0.99_0.6)_w0.4,0.1
0.56,1.24,1.7,3,8,19,10,BB(0.99_0.6)_w0.5,0.1
0.6,1.2,1.8,3,13,18,11,BB(0.99_0.6)_w0.6,0.1
0.68,1.14,1.76,3,9,17,13,BB(0.85_0.55)_w0.6,0.1
0.68,1.1,1.82,3,11,16,14,BB(0.85_0.55)_w0.7,0.1
0.54,1.26,1.76,3,10,20,10,BB(0.97_0.55)_w0.3,0.1
0.56,1.18,1.68,3,9,17,11,BB(1.0_0.7)_w0.5,0.1
0.62,1.14,1.74,3,10,16,12,BB(1.0_0.7)_w0.3,0.1
0.66,1.14,1.76,3,10,17,13,BB(0.9_0.7)_w0.3,0.1
0.68,1.24,1.7,3,10,17,9,BB(1.0_0.85)_w0.4,0.1
0.7,1.26,1.66,3,10,17,8,BB(1.0_0.85)_w0.5,0.1
0.68,1.16,1.78,3,10,18,13,BB(0.92_0.65)_w0.4,0.1
0.7,1.18,1.76,3,10,18,12,BB(0.92_0.65)_w0.3,0.1
0.62,1.22,1.74,3,9,19,11,BB(0.92_0.65)_w0.2,0.1
0.66,1.14,1.82,3,11,17,13,BB(0.92_0.65)_w0.5,0.1
0.54,1.28,1.72,3,9,21,10,BB(0.85_0.55)_w0.2,0.1
0.62,1.24,1.72,3,9,20,11,BB(0.85_0.55)_w0.3,0.1
0.58,1.22,1.78,3,11,19,11,BB(0.85_0.55)_w0.4,0.1
0.66,1.16,1.76,3,10,17,12,BB(0.85_0.55)_w0.5,0.1
