top10_5of5,top12_5of5,top15_5of5,top20_5of5,top25_5of5,top30_5of5,top40_5of5,top45_5of5,top10_3plus,top12_3plus,top15_3plus,top20_3plus,top25_3plus,top30_3plus,top40_3plus,top45_3plus,config
0,0,0,0,0,6,23,35,4,6,12,22,29,38,48,50,"PB(w100,d0.92,nl5,pw0.3)"
0,0,0,0,0,6,21,33,4,6,13,23,26,37,49,50,"PB(w100,d0.92,nl5,pw0.4)"
0,0,0,0,0,5,22,34,5,7,13,21,30,38,49,50,"PB(w100,d0.92,nl7,pw0.2)"
0,0,0,0,1,6,22,35,4,6,13,22,30,37,49,50,"PB(w100,d0.92,nl7,pw0.3)"
0,0,0,0,2,6,21,35,5,6,12,23,29,39,48,50,"PB(w100,d0.92,nl7,pw0.4)"
0,0,0,0,0,4,24,36,5,6,11,21,27,36,48,50,"PB(w100,d0.95,nl3,pw0.2)"
0,0,0,0,0,5,23,35,5,7,10,20,27,36,47,50,"PB(w100,d0.95,nl3,pw0.3)"
0,0,0,0,0,5,25,36,6,7,13,21,28,37,48,50,"PB(w100,d0.95,nl3,pw0.4)"
0,0,0,0,1,6,24,36,5,6,12,22,26,37,48,50,"PB(w100,d0.95,nl5,pw0.2)"
0,0,0,0,1,6,25,36,6,7,12,23,25,39,47,50,"PB(w100,d0.95,nl5,pw0.3)"
0,0,0,0,1,8,24,34,6,7,11,21,27,39,48,50,"PB(w100,d0.95,nl5,pw0.4)"
0,0,0,0,1,6,24,37,5,7,13,22,27,37,48,50,"PB(w100,d0.95,nl7,pw0.2)"
0,0,0,0,1,7,24,36,6,7,13,21,27,39,48,50,"PB(w100,d0.95,nl7,pw0.3)"
0,0,0,0,1,8,23,36,6,7,13,21,29,40,48,50,"PB(w100,d0.95,nl7,pw0.4)"
0,0,0,0,2,4,24,38,3,6,10,23,29,35,47,50,"PB(w100,d0.97,nl3,pw0.2)"
0,0,0,0,1,6,24,36,2,6,10,22,29,35,48,50,"PB(w100,d0.97,nl3,pw0.3)"
0,0,0,0,1,6,25,36,4,7,9,18,30,36,49,50,"PB(w100,d0.97,nl3,pw0.4)"
0,0,0,1,2,6,24,37,4,8,11,24,28,37,47,50,"PB(w100,d0.97,nl5,pw0.2)"
0,0,0,0,2,8,23,36,3,8,12,23,30,37,48,50,"PB(w100,d0.97,nl5,pw0.3)"
0,0,0,0,1,7,21,38,3,7,11,19,29,37,49,50,"PB(w100,d0.97,nl5,pw0.4)"
